aggregate_trade_id,price,quantity,first_trade_id,last_trade_id,timestamp,buyer_is_maker,best_price_match
54331967,"0.31920000","0.68400000",70889121,70889126,1772814850997,false,true
54331968,"0.31920000","0.65200000",70889127,70889127,1772814851004,false,true
54331969,"0.31920000","0.02800000",70889128,70889128,1772814851011,false,true
54331970,"0.31920000","0.56600000",70889129,70889129,1772814851018,false,true
54331971,"0.31920000","0.57700000",70889130,70889130,1772814851025,false,true
54331972,"0.31920000","0.04400000",70889131,70889131,1772814851032,false,true
54331973,"0.31920000","0.67300000",70889132,70889132,1772814851040,false,true
54331974,"0.31920000","0.61700000",70889133,70889140,1772814851047,false,true
54331975,"0.31920000","0.04400000",70889141,70889142,1772814851053,false,true
54331976,"0.31920000","0.63500000",70889143,70889147,1772814851060,false,true
54331977,"0.31920000","0.06600000",70889148,70889149,1772814851067,false,true
54331978,"0.31930000","0.67900000",70889150,70889150,1772814854112,false,true
54331979,"0.31930000","0.59500000",70889151,70889151,1772814854115,false,true
54331980,"0.31930000","0.08000000",70889152,70889152,1772814854134,false,true
54331981,"0.31930000","0.13900000",70889153,70889153,1772814854345,false,true
54331982,"0.31930000","0.41500000",70889154,70889164,1772814854346,false,true
54331983,"0.31930000","0.99100000",70889165,70889177,1772814854529,false,true
54331984,"0.31930000","0.11000000",70889178,70889178,1772814854649,false,true
54331985,"0.31930000","0.04700000",70889179,70889179,1772814854755,false,true
54331986,"0.31930000","1.42000000",70889180,70889185,1772814854762,false,true
54331987,"0.31930000","0.45900000",70889186,70889186,1772814854769,false,true
54331988,"0.31930000","0.40700000",70889187,70889187,1772814855240,true,true
54331989,"0.31940000","0.16000000",70889188,70889188,1772814860720,false,true
54331990,"0.31940000","0.20000000",70889189,70889189,1772814861139,false,true
54331991,"0.31940000","0.04000000",70889190,70889190,1772814864635,false,true
54331992,"0.31940000","0.04400000",70889191,70889191,1772814864646,false,true
54331993,"0.31940000","0.04400000",70889192,70889192,1772814864654,false,true
54331994,"0.31940000","0.02800000",70889193,70889193,1772814864661,false,true
54331995,"0.31940000","0.08800000",70889194,70889194,1772814864670,false,true
54331996,"0.31940000","0.04400000",70889195,70889195,1772814864677,false,true
54331997,"0.31940000","0.04400000",70889196,70889196,1772814864684,false,true
54331998,"0.31940000","0.02600000",70889197,70889197,1772814864691,false,true
54331999,"0.31940000","0.04400000",70889198,70889198,1772814864699,false,true
54332000,"0.31940000","0.04400000",70889199,70889199,1772814864707,false,true
54332001,"0.31940000","0.01700000",70889200,70889200,1772814864714,false,true
54332002,"0.31940000","0.04400000",70889201,70889201,1772814864721,false,true
54332003,"0.31940000","0.48300000",70889202,70889202,1772814865123,false,true
54332004,"0.31940000","0.51900000",70889203,70889212,1772814865128,false,true
54332005,"0.31940000","0.30200000",70889213,70889215,1772814865135,false,true
54332006,"0.31950000","2.17400000",70889216,70889236,1772814869805,false,true
54332007,"0.31950000","0.16800000",70889237,70889237,1772814869814,false,true
54332008,"0.31950000","0.16800000",70889238,70889238,1772814869821,false,true
54332009,"0.31950000","0.16800000",70889239,70889239,1772814869828,false,true
54332010,"0.31950000","0.16800000",70889240,70889240,1772814869836,false,true
54332011,"0.31950000","0.16800000",70889241,70889241,1772814869850,false,true
54332012,"0.31950000","0.16800000",70889242,70889242,1772814869858,false,true
54332013,"0.31950000","0.16800000",70889243,70889243,1772814869866,false,true
54332014,"0.31950000","0.16800000",70889244,70889244,1772814869873,false,true
54332015,"0.31950000","0.16800000",70889245,70889245,1772814869881,false,true
54332016,"0.31950000","0.16800000",70889246,70889246,1772814869888,false,true
54332017,"0.31950000","0.16800000",70889247,70889247,1772814869903,false,true
54332018,"0.31960000","0.00500000",70889248,70889248,1772814873460,false,true
54332019,"0.31950000","3.17800000",70889249,70889249,1772814907386,true,true
54332020,"0.31940000","0.07900000",70889250,70889250,1772814910130,true,true
54332021,"0.31960000","0.00600000",70889251,70889251,1772814956483,false,true
54332022,"0.31950000","3.17700000",70889252,70889252,1772814960237,true,true
54332023,"0.31930000","1.00900000",70889253,70889254,1772815019319,true,true
54332024,"0.31930000","0.72500000",70889255,70889255,1772815021284,true,true
54332025,"0.31920000","1.56600000",70889256,70889256,1772815025677,true,true
54332026,"0.31910000","0.38600000",70889257,70889258,1772815027311,true,true
54332027,"0.31910000","3.04100000",70889259,70889261,1772815028077,true,true
54332028,"0.31900000","2.34900000",70889262,70889265,1772815028077,true,true
54332029,"0.31910000","0.10200000",70889266,70889266,1772815028750,true,true
54332030,"0.31910000","0.47400000",70889267,70889268,1772815029524,true,true
54332031,"0.31910000","0.31600000",70889269,70889269,1772815029979,true,true
54332032,"0.31930000","0.03000000",70889270,70889270,1772815031562,false,true
